Repository Name,Commit Link,File Name,Change Behavior,Remark
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base/commit/c5ec745135ff57c7e3e99159abad2e54d76ac7ec,WebView.java,nullable nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/b8d095233317b898c08db6fc42c953bca32e79e4,EmptyWebProjectTemplate.java,nullable nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/dce3de0ef57bebb42d82b66739981bf71383a7c1,TaskWithSubtasksChecker.java,NotNull nullable,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/56c824c12fa510c6b26eae9b64036234f6efaa94,StreamChainTransformer.java,nullable nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/25bc4b3445570ecdcb17163d90e91ac9820d2256,OptionTagBinding.java,NotNull nullable,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/0abad3f19c6a238ba0de48b95cd159a2f733e346,UsageView.java,NotNull nullable,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/e4f86b836dda42e283f1052ca162a852a441c3a2,EmptyWebProjectTemplate.java,NotNull nullable,Opposiate change
consulo/consulo,https://github.com/consulo/consulo/commit/fd2e674a6deb7d3a4da74169a11c442ea25b92d0,ContentFactoryImpl.java,NotNull nullable,Opposiate change
consulo/consulo,https://github.com/consulo/consulo/commit/4b5ca4bc23d7756ef5b5bde74be8b4a9254a5fe4,Application.java,NotNull nullable,Opposiate change
consulo/consulo,https://github.com/consulo/consulo/commit/c3f55cc54755900b6128e7a07b191917f7402e6e,ModifiableModuleModel.java,NotNull Nullable,Opposiate change
JetBrains/MPS,https://github.com/JetBrains/MPS/commit/3f617f128c02c79cdd613809a60089d034c906f0,IncrementalTypecheckingContext.java,NotNull nullable,Opposiate change
neo4j/neo4j,https://github.com/neo4j/neo4j/commit/552d7fc59b49832036fcc50938f3ba426cd472b9,Logger.java,NotNull nullable,Opposiate change
JetBrains/android,https://github.com/JetBrains/android/commit/f0e668c1541000578879118a8b7d4667198ba84e,AndroidUtils.java,NotNull nullable,Opposiate change
JetBrains/android,https://github.com/JetBrains/android/commit/c5f94ee06fe61fa51a0e4eb67aba3ad93dfc6d35,ContentRootModuleSetupStep.java,NotNull nullable,Opposiate change
JetBrains/android,https://github.com/JetBrains/android/commit/f0e668c1541000578879118a8b7d4667198ba84e,AndroidUtils.java,NotNull Nullable,Opposiate change
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/commit/8eeb6ffa3f07a5c82b441c4319afb96b5a1f0c47,FilteringAwareObserver.java,nullable nonnull,Opposiate change
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/commit/4396a5ad3affe25acee8e080a646eb6391398b32,EmptyObserver.java,nullable nonnull,Opposiate change
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/commit/6a13ae6179c34316fdf0ddbdba85ce5fe88251a3,EventQueue.java,NotNull Nullable,Opposiate change
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins/commit/9a323713d4cce67795c6259c10fffe6c03bc90b5,DartFeedbackBuilder.java,Nullable notnulll,Opposiate change
cgeo/cgeo,https://github.com/cgeo/cgeo/commit/bb51dc30d164649279e51c91b6879d8c9c826850,GCConnector.java,NotNull nullable,Opposiate change
cgeo/cgeo,https://github.com/cgeo/cgeo/commit/6d0a2f562dae0a236b30b8e733410b44a4dcb7bd,IConnector.java,NotNull nullable,Opposiate change
ballerinalang/ballerina,https://github.com/ballerinalang/ballerina/commit/3d6e8657df037186d1bab286fb924d9225702d8a,BallerinaImportDeclaration.java,NotNull nullable,Opposiate change
crate/crate,https://github.com/crate/crate/commit/23c777e9b7da6c979990d5a0a938f0df349a32c2,CountContext.java,Nullable notnulll,Opposiate change
UweTrottmann/SeriesGuide,https://github.com/UweTrottmann/SeriesGuide/commit/1299a4b2af500edd209ecfcbfead2c215821be35,EpisodeFlagJob.java,Nullable notnulll,Opposiate change
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge/commit/9cf74914e7d1b70bc6d21d9b879ab10921e1a39b,RenderTooltipEvent.java,Nullable notnulll,Opposiate change
serge-rider/dbeaver,https://github.com/serge-rider/dbeaver/commit/6d968f001919e5cddf1ba7a3b29d01125b425276,DBNDatabaseFolder.java,NotNull nullable,Opposiate change
